"name","last_name","first_name","graduation_date","rank_at_graduation","class","graduated_from","pilot_type","military_hometown_of_record","state","aerial_victory_credits","number_of_aerial_victory_credits","reported_lost","reported_lost_date","reported_lost_location","web_profile"
"Cooper, Charles W.","Cooper","Charles W.",1944-09-08,"Flight Officer","SE-44-H","TAAF","Single engine","Washington","DC",,0,,,,
"Cooper, Edward M.","Cooper","Edward M.",1945-09-08,"2nd Lt","TE-45-F","TAAF","Twin engine","Sharon","LA",,0,,,,
"Corbin, Matthew J.","Corbin","Matthew J.",1945-06-27,"Flight Officer","SE-45-D","TAAF","Single engine","Pittsburg","PA",,0,,,,
"Cousins, August, Jr.","Cousins","August, Jr.",1944-04-15,"2nd Lt","TE-44-D","TAAF","Twin engine","Toledo","OH",,0,,,,
"Cousins, William M.","Cousins","William M.",1944-09-08,"2nd Lt","SE-44-H","TAAF","Single engine","Philadelphia","PA",,0,,,,
"Cowan, Edwin T.","Cowan","Edwin T.",1944-12-28,"Flight Officer","TE-44-J","TAAF","Twin engine","Cleveland","OH",,0,,,,
"Cox, Hannibal M.","Cox","Hannibal M.",1944-04-15,"2nd Lt","SE-44-D","TAAF","Single engine","Chicago","IL",,0,,,,
"Craig, Charles E.","Craig","Charles E.",1944-02-01,"Flight Officer","SE-44-K","TAAF","Single engine","Detroit","MI",,0,,,,
"Craig, Lewis W.","Craig","Lewis W.",1944-04-15,"2nd Lt","SE-44-D","TAAF","Single engine","Ashville","NC",,0,,,,
"Craig, Milford S.","Craig","Milford S.",1948-10-12,"2nd Lt",,"Williams AFB, AZ","Single engine","Williams AFB","AZ",,0,,,,
"Craigwell, Ernest","Craigwell","Ernest",1948-10-12,"2nd Lt",,"Williams AFB, AZ","Single engine","Williams AFB","AZ",,0,,,,"https://cafriseabove.org/ernest-craigwell-jr/"
"Criss, Leroy","Criss","Leroy",1945-04-15,"Flight Officer","TE-45-B","TAAF","Twin engine","Los Angeles","CA",,0,,,,
"Crockett, Woodrow W.","Crockett","Woodrow W.",1943-03-25,"2nd Lt","SE-43-C","TAAF","Single engine","Little Rock","AR",,0,,,,"https://cafriseabove.org/woodrow-wilson-crockett/"
"Cross, William, Jr.","Cross","William, Jr.",1943-10-01,"Flight Officer","SE-43-I","TAAF","Single engine","Cleveland","OH",,0,,,,
"Crunnbsy, Grover","Crunnbsy","Grover",1944-02-01,"Flight Officer","TE-44-K","TAAF","Twin engine","Pensacola","FL",,0,,,,
"Cummings, Hemdon M.","Cummings","Hemdon M.",1945-03-11,"2nd Lt","TE-45-A","TAAF","Twin engine","Montrose","GA",,0,,,,
"Cunningham, John O.","Cunningham","John O.",1943-10-22,"2nd Lt","CL-43-2","TAAF","Liaison pilot","Muncie","IN",,0,,,,
"Curry, John C.","Curry","John C.",1945-08-04,"2nd Lt","TE-45-E","TAAF","Twin engine","Indianapolis","IN",,0,,,,
"Curry, Walter P.","Curry","Walter P.",1945-09-08,"2nd Lt","SE-45-F","TAAF","Single engine","Washington","DC",,0,,,,
"Curtis, John W.","Curtis","John W.",1945-04-15,"2nd Lt","SE-45-B","TAAF","Single engine","Detroit","MI",,0,,,,
"Curtis, Samuel L.","Curtis","Samuel L.",1943-07-28,"2nd Lt","SE-43-G","TAAF","Single engine","Yeadon","PA",,0,,,,
"Curtis, William J., Jr.","Curtis","William J., Jr.",1945-03-11,"Flight Officer","TE-45-A","TAAF","Twin engine","Pittsburg","PA",,0,,,,
"Custis, Lemuel R.","Custis","Lemuel R.",1942-03-06,"2nd Lt","SE-42-C","TAAF","Single engine","Hartford","CT","Downed 1 Fw-190 on January 27, 1944",1,,,,"https://cafriseabove.org/lemuel-custis/"
"Dabney, Roscoe J., Jr.","Dabney","Roscoe J., Jr.",1945-09-08,"2nd Lt","TE-45-F","TAAF","Twin engine","Lakewood","NJ",,0,,,,
"Daniels, Harry J.","Daniels","Harry J.",1943-08-30,"2nd Lt","SE-43-H","TAAF","Single engine","Indianapolis","IN",,0,,,,
"Daniels, John","Daniels","John",1943-07-28,"2nd Lt","SE-43-G","TAAF","Single engine","Chicago","IL",,0,,,,
"Daniels, Robert H. Jr.","Daniels","Robert H. Jr.",1943-12-05,"2nd Lt","SE-43-K","TAAF","Single engine","Corona","NY",,0,,,,
"Daniels, Thomas J., III","Daniels","Thomas J., III",1944-10-16,"Flight Officer","SE-44-I-1","TAAF","Single engine","Wetumpka","AL",,0,,,,
"Daniels, Virgil A.","Daniels","Virgil A.",1944-01-07,"Flight Officer","TE-44-A","TAAF","Twin engine","Jacksonville","FL",,0,,,,
"Darnell, Charles E.","Darnell","Charles E.",1944-03-12,"2nd Lt","TE-44-C","TAAF","Twin engine","Dayton","OH",,0,,,,
"Dart, Clarence W.","Dart","Clarence W.",1943-11-03,"2nd Lt","SE-43-J","TAAF","Single engine","Elmira","NY",,0,,,,"https://cafriseabove.org/clarence-w-dart/"
"Davenport, Harry J,. Jr.","Davenport","Harry J,. Jr.",1944-05-23,"2nd Lt","SE-44-E","TAAF","Single engine","Beaumont","TX",,0,,,,
"Davis, Alfonza W.","Davis","Alfonza W.",1943-03-25,"2nd Lt","SE-43-C","TAAF","Single engine","Omaha","NE","Downed 1 MA-205 on July 16, 1944",1,,,,"https://cafriseabove.org/alfonza-w-davis/"
"Davis, Benjamin O., Jr.","Davis","Benjamin O., Jr.",1942-03-06,"Capt","SE-42-C","TAAF","Single engine","Tuskegee","AL",,0,,,,"https://cafriseabove.org/benjamin-o-davis-jr/"
"Davis, Claude C.","Davis","Claude C.",1944-08-04,"1st Lt","TE-44-G","TAAF","Twin engine","Pittsburgh","PA",,0,,,,"https://cafriseabove.org/claude-c-davis/"
"Davis, Clifford W.","Davis","Clifford W.",1945-09-08,"Flight Officer","TE-45-F","TAAF","Twin engine","Chicago","IL",,0,,,,
"Davis, Donald F.","Davis","Donald F.",1945-09-08,"2nd Lt","SE-45-F","TAAF","Single engine","Detroit","MI",,0,,,,
"Davis, Earnest J., Jr.","Davis","Earnest J., Jr.",1945-06-04,"2nd Lt",,"Stewart Field, NY","Single engine","Stewart Field","NY",,0,,,,
"Davis, John W.","Davis","John W.",1944-05-23,"2nd Lt","SE-44-E","TAAF","Single engine","Kansas City","KS","Downed 1 Me-109 on March 31, 1945",1,,,,
"Davis, Richard","Davis","Richard",1942-08-05,"2nd Lt","SE-42-G","TAAF","Single engine","Ft. Valley","GA",,0,,,,
"Davis, Sylvester S.","Davis","Sylvester S.",1945-09-08,"2nd Lt","SE-45-F","TAAF","Single engine","Cleveland","OH",,0,,,,
"Dean, Vincent C.","Dean","Vincent C.",1944-03-12,"2nd Lt","SE-44-C","TAAF","Single engine","Corona","NY",,0,,,,
"DeBow, Charles","DeBow","Charles",1942-03-06,"2nd Lt","SE-42-C","TAAF","Single engine","Indianapolis","IN",,0,,,,"https://cafriseabove.org/charles-henry-debow-jr/"
"Deiz, Robert W.","Deiz","Robert W.",1942-09-06,"2nd Lt","SE-42-H","TAAF","Single engine","Portland","OR","Downed 1 Fw-190 on January 27, 1944; Downed 1 Fw-190 on January 28, 1944",2,,,,"https://cafriseabove.org/robert-w-deiz/"
"Derricotte, Eugene Andrew","Derricotte","Eugene Andrew",1946-05-14,,"TE-46-B","TAAF","Twin engine","Detroit","MI",,0,,,,
"Desvignes, Russell F.","Desvignes","Russell F.",1945-04-15,"Flight Officer","TE-45-B","TAAF","Twin engine","New Orleans","LA",,0,,,,
"Dickerson, Charles W.","Dickerson","Charles W.",1943-11-03,"2nd Lt","SE-43-J","TAAF","Single engine","New Rochelle","NY",,0,,,,
"Dickerson, Page L.","Dickerson","Page L.",1945-10-16,"Flight Officer","SE-45-G","TAAF","Single engine","St. Louis","MO",,0,,,,
"Dickerson, Tamenund J., Jr.","Dickerson","Tamenund J., Jr.",1944-11-20,"Flight Officer","SE-44-I","TAAF","Single engine","Detroit","MI",,0,,,,
"Dickson, DeWitt","Dickson","DeWitt",1944-12-28,"Flight Officer","SE-44-J","TAAF","Single engine","New York","NY",,0,,,,
"Dickson, Lawrence E.","Dickson","Lawrence E.",1943-03-25,"2nd Lt","SE-43-C","TAAF","Single engine","Bronx","NY",,0,,,,"https://cafriseabove.org/lawrence-e-dickson/"
"Dickson, Othell","Dickson","Othell",1943-12-05,"2nd Lt","SE-43-K","TAAF","Single engine","San Francisco","CA",,0,,,,"https://cafriseabove.org/othell-dickson/"
"Diggs, Charles W.","Diggs","Charles W.",1944-02-08,"2nd Lt","TE-44-B","TAAF","Twin engine","Roxbury","MA",,0,,,,"https://cafriseabove.org/charles-c-diggs-jr/"
"Dillard, James M., Jr.","Dillard","James M., Jr.",1946-01-29,"2nd Lt","TE-45-I","TAAF","Twin engine","East Beckley","WV",,0,,,,
"Dillon, Oliver M.","Dillon","Oliver M.",1946-01-29,"2nd Lt","TE-45-I","TAAF","Twin engine","McComb","MS",,0,,,,
"Dixon, Edward T.","Dixon","Edward T.",1944-08-04,"2nd Lt","TE-44-G","TAAF","Twin engine","Hartford","CN",,0,,,,
"Doram, Edward D.","Doram","Edward D.",1944-10-16,"2nd Lt","SE-44-I-1","TAAF","Single engine","Cincinnatti","OH",,0,,,,
"Dorkins, Charles J.","Dorkins","Charles J.",1945-03-11,"2nd Lt","TE-45-A","TAAF","Twin engine","Baltimore","MD",,0,,,,
"Doswell, Andrew H.","Doswell","Andrew H.",1943-08-30,"2nd Lt","SE-43-H","TAAF","Single engine","Cleveland","OH",,0,,,,"https://cafriseabove.org/andrew-harrison-doswell/"
"Doswell, Edgar A., Jr.","Doswell","Edgar A., Jr.",1945-03-11,"Flight Officer","SE-45-A","TAAF","Single engine","Lynchburg","VA",,0,,,,
"Dowling, Corneilus D.","Dowling","Corneilus D.",1944-10-16,"2nd Lt","SE-44-I-1","TAAF","Single engine","New Rochelle","NY",,0,,,,
"Downs, Walter M.","Downs","Walter M.",1943-02-16,"2nd Lt","SE-43-B","TAAF","Single engine","New Orleans","LA",,0,,,,
"Driver, Clarence N.","Driver","Clarence N.",1944-01-07,"Flight Officer","SE-44-A","TAAF","Single engine","Los Angeles","CA",,0,,,,"https://cafriseabove.org/clarence-nesbit-driver/"
"Driver, Elwood T.","Driver","Elwood T.",1942-10-09,"2nd Lt","SE-42-I","TAAF","Single engine","Trenton","NJ","Downed 1 Fw-190 on February 5, 1944",1,,,,"https://cafriseabove.org/elwood-woody-thomas-driver/"
"Drummond, Charles H., Jr.","Drummond","Charles H., Jr.",1944-10-16,"2nd Lt","TE-44-I-1","TAAF","Twin engine","Roxbury","MA",,0,,,,
"Drummond, Edward P.","Drummond","Edward P.",1946-06-28,"2nd Lt","SE-46-C","TAAF","Single engine","Philadelphia","PA",,0,,,,
"Dryden, Charles W.","Dryden","Charles W.",1942-04-29,"2nd Lt","SE-42-D","TAAF","Single engine","Bronx","NY",,0,,,,"https://cafriseabove.org/charles-w-dryden/"
"Dudley, John B.","Dudley","John B.",1943-10-22,"1st Lt","CL-43-2","TAAF","Liaison pilot","Brooklyn","NY",,0,,,,
"Dudley, Richard G.","Dudley","Richard G.",1945-04-15,"2nd Lt","SE-45-B","TAAF","Single engine","Norristown","PA",,0,,,,
"Duke, Charles H.","Duke","Charles H.",1944-01-07,"2nd Lt","SE-44-A","TAAF","Single engine","Portland","OR",,0,,,,
"Duncan, Roger B.","Duncan","Roger B.",1945-08-04,"2nd Lt","SE-45-E","TAAF","Single engine","St. Louis","MO",,0,,,,
"Dungill, Harry W.","Dungill","Harry W.",1943-09-30,"2nd Lt","CL-43-1","TAAF","Liaison pilot","Chicago","IL",,0,,,,
"Dunlap, Alwayne M.","Dunlap","Alwayne M.",1943-03-25,"2nd Lt","SE-43-C","TAAF","Single engine","Washington","DC",,0,,,,"https://cafriseabove.org/alwayne-m-dunlap/"
"Dunn, Charles","Dunn","Charles",1943-09-30,"2nd Lt","CL-43-1","TAAF","Liaison pilot","Dallas County","AL",,0,,,,
"Dunne, Charles A.","Dunne","Charles A.",1943-08-30,"2nd Lt","SE-43-H","TAAF","Single engine","Atlantic City","NJ",,0,,,,
"Eagleson, Wilson V.","Eagleson","Wilson V.",1943-04-29,"2nd Lt","SE-43-D","TAAF","Single engine","Bloomington","IL","Downed 1 Fw-190 on January 27, 1944; Downed 1 Fw-190 on February 7, 1944",2,,,,"https://cafriseabove.org/wilson-vash-swampy-eagleson-ii/"
"Echols, Julius P.","Echols","Julius P.",1945-10-16,"Flight Officer","TE-45-G","TAAF","Twin engine","Chicago","IL",,0,,,,
"Edwards, James E., Jr.","Edwards","James E., Jr.",1944-12-28,"Flight Officer","TE-44-J","TAAF","Twin engine","Wenatchee","WA",,0,,,,
"Edwards, Jerome T.","Edwards","Jerome T.",1942-11-10,"2nd Lt","SE-42-J","TAAF","Single engine","Steubenville","OH",,0,,,,"https://cafriseabove.org/jerome-thompson-edwards/"
"Edwards, John E.","Edwards","John E.",1944-08-04,"2nd Lt","SE-44-G","TAAF","Single engine","Steubenville","OH","Downed 2 Me-109s on April 1, 1945",2,,,,"https://cafriseabove.org/john-ellis-edwards/"
"Edwards, William H.","Edwards","William H.",1944-08-04,"Flight Officer","SE-44-G","TAAF","Single engine","Birmingham","AL",,0,,,,
"Elam, Charles B.","Elam","Charles B.",1943-12-07,"2nd Lt","CL-43-3","TAAF","Liaison pilot","Washington","DC",,0,,,,
"Elfalan, Jose R.","Elfalan","Jose R.",1945-11-20,"2nd Lt","TE-45-H","TAAF","Twin engine","Prospect","KY",,0,,,,
"Ellington, Spurgeon N.","Ellington","Spurgeon N.",1943-05-28,"2nd Lt","SE-43-E","TAAF","Single engine","Winston-Salem","NC",,0,,,,"https://cafriseabove.org/spurgeon-neal-ellington/"
"Ellis, Carl F.","Ellis","Carl F.",1944-06-27,"2nd Lt","SE-44-F","TAAF","Single engine","Chicago","IL",,0,,,,
"Ellis, Everett","Ellis","Everett",1946-01-29,"2nd Lt","TE-45-I","TAAF","Twin engine","Baltimore","MD",,0,,,,
"Ellis, William B.","Ellis","William B.",1943-07-28,"2nd Lt","SE-43-G","TAAF","Single engine","Washington","DC",,0,,,,
"Elsberry, Joseph D.","Elsberry","Joseph D.",1942-09-06,"2nd Lt","SE-42-H","TAAF","Single engine","Langston","OK","Downed 3 Fw-190s on July 12, 1944; Downed 1 Me-109 on July 20, 1944",4,,,,"https://cafriseabove.org/joseph-d-elsberry/"
"Eskridge, Chauncey","Eskridge","Chauncey",1943-09-30,"1st Lt","CL-43-1","TAAF","Liaison pilot","Homewood","PA",,0,,,,
"Esters, Maurice V.","Esters","Maurice V.",1943-05-28,"2nd Lt","SE-43-E","TAAF","Single engine","Webster City","IA",,0,,,,"https://cafriseabove.org/maurice-v-esters/"
"Ewing, James","Ewing","James",1944-06-27,"Flight Officer","TE-44-F","TAAF","Twin engine","Helena","AR",,0,,,,
"Exum, Herven P.","Exum","Herven P.",1944-10-16,"Flight Officer","TE-44-I-1","TAAF","Twin engine","Wilson","NJ",,0,,,,
"Farley, Gaines C.","Farley","Gaines C.",1943-10-22,"1st Lt","CL-43-2","TAAF","Liaison pilot","Paducah","KY",,0,,,,
"Farley, William H.","Farley","William H.",1944-02-08,"2nd Lt","TE-44-B","TAAF","Twin engine","Savannah","GA",,0,,,,
"Faulkner, William J.","Faulkner","William J.",1943-04-29,"2nd Lt","SE-43-D","TAAF","Single engine","Nashville","TN",,0,,,,"https://cafriseabove.org/william-john-faulkner-jr/"
"Fears, Henry T.","Fears","Henry T.",1944-11-20,"Flight Officer","TE-44-I","TAAF","Twin engine","Muncie","IN",,0,,,,
"Finley, Clarence C.","Finley","Clarence C.",1945-03-11,"2nd Lt","SE-45-A","TAAF","Single engine","Chicago","IL",,0,,,,
"Finley, Otis E., Jr.","Finley","Otis E., Jr.",1945-09-08,"Flight Officer","TE-45-F","TAAF","Twin engine","St. Louis","MO",,0,,,,
"Fischer, James H.","Fischer","James H.",1944-08-04,"Flight Officer","SE-44-G","TAAF","Single engine","Stoughton","MA","Downed 1 Fw-190 on April 1, 1945",1,,,,
"Flake, Thomas M.","Flake","Thomas M.",1944-12-28,"Flight Officer","TE-44-J","TAAF","Twin engine","Detroit","MI",,0,,,,
"Fleming, Rutledge H., Jr.","Fleming","Rutledge H., Jr.",1945-03-11,"Flight Officer","TE-45-A","TAAF","Twin engine","Nashville","TN",,0,,,,
"Fletcher, Henry F.","Fletcher","Henry F.",1943-11-03,"2nd Lt","SE-43-J","TAAF","Single engine","San Antonio","TX",,0,,,,
"Ford, Harry E., Jr.","Ford","Harry E., Jr.",1945-08-04,"Flight Officer","TE-45-E","TAAF","Twin engine","Detroit","MI",,0,,,,
"Foreman, Samuel J.","Foreman","Samuel J.",1944-05-23,"Flight Officer","SE-44-E","TAAF","Single engine","Tulsa","OK",,0,,,,
"Foreman, Walter T.","Foreman","Walter T.",1943-04-29,"2nd Lt","SE-43-D","TAAF","Single engine","Washington","DC",,0,,,,
"Francis, William V.","Francis","William V.",1945-06-27,"Flight Officer","SE-45-D","TAAF","Single engine","Philadelphia","PA",,0,,,,
"Franklin, Earl N.","Franklin","Earl N.",1945-05-23,"2nd Lt","SE-45-C","TAAF","Single engine","Joliet","IL",,0,,,,
"Franklin, George E.","Franklin","George E.",1944-09-08,"2nd Lt","SE-44-H","TAAF","Single engine","Joliet","IL",,0,,,,
"Franklin, John M.","Franklin","John M.",1943-10-22,"2nd Lt","CL-43-2","TAAF","Liaison pilot","Toledo","OH",,0,,,,
"Freeman, Eldridge E.","Freeman","Eldridge E.",1945-04-15,"Flight Officer","TE-45-B","TAAF","Twin engine","Chicago","IL",,0,,,,
"Friend, Robert J.","Friend","Robert J.",1943-12-05,"2nd Lt","SE-43-K","TAAF","Single engine","New York","NY",,0,,,,
"Fullbright, Stewart B., Jr.","Fullbright","Stewart B., Jr.",1943-12-05,"2nd Lt","TE-43-K","TAAF","Twin engine","Springfield","MO",,0,,,,
"Fuller, William A., Jr.","Fuller","William A., Jr.",1945-08-04,"Flight Officer","SE-45-E","TAAF","Single engine","Detroit","MI",,0,,,,
"Fuller, Willie","Fuller","Willie",1942-08-05,"2nd Lt","SE-42-G","TAAF","Single engine","Tarboro","NC",,0,,,,
"Funderburg, Fredrick D.","Funderburg","Fredrick D.",1943-12-05,"2nd Lt","SE-43-K","TAAF","Single engine","Monticello","GA","Downed 2 Me-109s on June 9, 1944",2,,,,
"Gaines, Thurston L., Jr.","Gaines","Thurston L., Jr.",1944-08-04,"Flight Officer","SE-44-G","TAAF","Single engine","Freeport","NY",,0,,,,
"Gaiter, Roger B.","Gaiter","Roger B.",1944-02-08,"2nd Lt","SE-44-B","TAAF","Single engine","Seaside Heights","NJ",,0,,,,
"Gallwey, James H.","Gallwey","James H.",1946-03-23,"2nd Lt","SE-46-A","TAAF","Single engine","Owego","NY",,0,,,,
"Gamble, Howard C.","Gamble","Howard C.",1943-12-05,"2nd Lt","SE-43-K","TAAF","Single engine","Charleston","WV",,0,,,,
"Gant, Morris E.","Gant","Morris E.",1944-09-08,"Flight Officer","SE-44-H","TAAF","Single engine","Chicago","IL",,0,,,,
"Garrett, Alfred E., Jr.","Garrett","Alfred E., Jr.",1945-10-16,"Flight Officer","SE-45-G","TAAF","Single engine","Fort Worth","TX",,0,,,,
"Garrison, Robert E., Jr.","Garrison","Robert E., Jr.",1944-08-04,"2nd Lt","SE-44-G","TAAF","Single engine","Columbus","OH",,0,,,,
"Gash, Joseph E.","Gash","Joseph E.",1945-03-11,"2nd Lt","SE-45-A","TAAF","Single engine","Denver","CO",,0,,,,
"Gaskins, Aaron C.","Gaskins","Aaron C.",1945-08-04,"2nd Lt","SE-45-E","TAAF","Single engine","Hartford","CT",,0,,,,
"Gay, Thomas L.","Gay","Thomas L.",1944-02-08,"2nd Lt","SE-44-B","TAAF","Single engine","Detroit","MI",,0,,,,
"Gibson, John A.","Gibson","John A.",1942-10-09,"2nd Lt","SE-42-I","TAAF","Single engine","Chicago","IL",,0,,,,
"Giles, Ivie V.","Giles","Ivie V.",1945-06-27,"Flight Officer","SE-45-D","TAAF","Single engine","Kansas City","KS",,0,,,,
"Gilliam, William L.","Gilliam","William L.",1945-04-15,"Flight Officer","SE-45-B","TAAF","Single engine","New York","NY",,0,,,,
"Givings, Clemenceau M.","Givings","Clemenceau M.",1943-05-28,"2nd Lt","SE-43-E","TAAF","Single engine","Richmond","VA",,0,,,,
"Gladden, Thomas","Gladden","Thomas",1944-11-20,"2nd Lt","SE-44-I","TAAF","Single engine","Washington","DC",,0,,,,
"Glass, Robert M.","Glass","Robert M.",1944-10-16,"Flight Officer","SE-44-I-1","TAAF","Single engine","Pittsburg","PA",,0,,,,
"Gleed, Edward C.","Gleed","Edward C.",1942-12-13,"2nd Lt","SE-42-K","TAAF","Single engine","Lawrence","KS","Downed 2 Fw-190s on July 27, 1944",2,,,,
"Glenn, Joshua","Glenn","Joshua",1944-02-01,"Flight Officer","SE-44-K","TAAF","Single engine","Newark","NJ",,0,,,,
"Goins, Nathaniel W.","Goins","Nathaniel W.",1945-11-20,"Flight Officer","TE-45-H","TAAF","Twin engine","St. Paul","MN",,0,,,,
"Golden, Newman C.","Golden","Newman C.",1944-08-04,"Flight Officer","SE-44-G","TAAF","Single engine","Cincinnatti","OH",,0,,,,
"Goldsborough, Ernest W.","Goldsborough","Ernest W.",1943-12-07,"2nd Lt","CL-43-3","TAAF","Liaison pilot","Glen Mills","PA",,0,,,,
"Goldsby, Charles S.","Goldsby","Charles S.",1945-03-11,"Flight Officer","TE-45-A","TAAF","Twin engine","Detroit","MI",,0,,,,
"Gomer, Joseph P.","Gomer","Joseph P.",1943-05-28,"2nd Lt","SE-43-E","TAAF","Single engine","Iowa Falls","IA",,0,,,,
"Goodall, Ollie O., Jr.","Goodall","Ollie O., Jr.",1944-02-01,"Flight Officer","TE-44-K","TAAF","Twin engine","Detroit","MI",,0,,,,
"Goodenough, Purnell J.","Goodenough","Purnell J.",1943-10-01,"2nd Lt","SE-43-I","TAAF","Single engine","Birmingham","AL",,0,,,,
"Goodwin, Luther A.","Goodwin","Luther A.",1944-09-08,"1st Lt","TE-44-H","TAAF","Twin engine","Bakersfield","CA",,0,,,,
"Gordon, Elmer A.","Gordon","Elmer A.",1943-03-25,"2nd Lt","SE-43-C","TAAF","Single engine","Portsmouth","VA",,0,,,,
"Gordon, Joseph E.","Gordon","Joseph E.",1944-02-08,"2nd Lt","SE-44-B","TAAF","Single engine","Brooklyn","NY",,0,,,,
"Gordon, Robert A.","Gordon","Robert A.",,"Flight Officer",,"TAAF","Service pilot","Troy","OH",,0,,,,
"Gordon, William M.","Gordon","William M.",1943-03-25,"2nd Lt","SE-43-C","TAAF","Single engine","Mobile","AL",,0,,,,
"Gorham, Alfred M.","Gorham","Alfred M.",1944-02-08,"2nd Lt","SE-44-B","TAAF","Single engine","Waukesha","WI","Downed 2 Fw-190s on July 27, 1944",2,,,,
"Gould, Cornelius P., Jr.","Gould","Cornelius P., Jr.",1944-02-08,"Flight Officer","SE-44-B","TAAF","Single engine","Pittsburg","PA",,0,,,,
"Govan, Claude B.","Govan","Claude B.",1943-02-16,"2nd Lt","SE-43-B","TAAF","Single engine","Newark","NJ","Downed 1 Me-109 on July 27, 1944",1,,,,
"Grant, Arnold D.","Grant","Arnold D.",1943-09-30,"2nd Lt","CL-43-1","TAAF","Liaison pilot","Coffeyville","KS",,0,,,,
"Gray, Elliott H.","Gray","Elliott H.",1945-09-08,"Flight Officer","SE-45-F","TAAF","Single engine","Tuskegee Inst.","AL",,0,,,,
"Gray, George E.","Gray","George E.",1943-05-28,"2nd Lt","SE-43-E","TAAF","Single engine","Hemphill","WV",,0,,,,
"Gray, Leo R.","Gray","Leo R.",1944-08-04,"2nd Lt","SE-44-G","TAAF","Single engine","Roxbury","MA",,0,,,,
"Green, James L.","Green","James L.",1944-10-16,"Flight Officer","TE-44-I-1","TAAF","Twin engine","Philadelphia","PA",,0,,,,
"Green, Paul L.","Green","Paul L.",1944-08-04,"2nd Lt","SE-44-G","TAAF","Single engine","Xenia","OH",,0,,,,
"Green, Smith W.","Green","Smith W.",1943-08-30,"2nd Lt","SE-43-H","TAAF","Single engine","Los Angeles","CA",,0,,,,
"Green, William W., Jr.","Green","William W., Jr.",1943-07-28,"2nd Lt","SE-43-G","TAAF","Single engine","Staunton","VA","Downed 1 MA-202 on July 16, 1944; Downed 1 He-111 on October 12, 1944",2,,,,
"Greenlee, George B., Jr.","Greenlee","George B., Jr.",1943-07-28,"2nd Lt","SE-43-G","TAAF","Single engine","Pittsburg","PA",,0,,,,
"Greenwell, Jacob W.","Greenwell","Jacob W.",1946-03-23,"2nd Lt","SE-46-A","TAAF","Single engine","Fort Worth","TX",,0,,,,
"Greer, James W.","Greer","James W.",1944-12-28,"Flight Officer","SE-44-J","TAAF","Single engine","Detroit","MI",,0,,,,
"Griffin, Frank","Griffin","Frank",1946-01-29,"Flight Officer","SE-45-I","TAAF","Single engine","Asbury Park","NJ",,0,,,,
"Griffin, Jerrold D.","Griffin","Jerrold D.",1945-08-04,"2nd Lt","TE-45-E","TAAF","Twin engine","Philadelphia","PA",,0,,,,
"Griffin, William E.","Griffin","William E.",1943-02-16,"2nd Lt","SE-43-B","TAAF","Single engine","Birmingham","AL",,0,,,,
"Groves, Weldon K.","Groves","Weldon K.",1943-06-30,"2nd Lt","SE-43-F","TAAF","Single engine","Edwardsville","KS","Downed 1 Me-109 on July 18, 1944",1,,,,"https://cafriseabove.org/weldon-k-groves/"
"Guilbaud, Eberle J.","Guilbaud","Eberle J.",1944-04-15,"N/A","TE-44-D","TAAF","Twin engine","Port au Prince","HT",,0,,,,
"Guyton, Eugene L.","Guyton","Eugene L.",1944-12-28,"Flight Officer","SE-44-J","TAAF","Single engine","Cleveland","OH",,0,,,,
"Haley, George","Haley","George",1943-10-01,"2nd Lt","SE-43-I","TAAF","Single engine","Bath","NY",,0,,,,
"Hall, Charles B.","Hall","Charles B.",1942-07-03,"2nd Lt","SE-42-F","TAAF","Single engine","Brazil","IN","Downed 1 Fw-190 on July 2, 1943; Downed 1 Fw-190 and 1 Me-109 on January 28, 1944",3,,,,
"Hall, James L., Jr.","Hall","James L., Jr.",1944-03-12,"2nd Lt","SE-44-C","TAAF","Single engine","Washington","DC","Downed 1 Me-109 on March 31, 1945",1,,,,
"Hall, Leander A., Jr.","Hall","Leander A., Jr.",1943-09-30,"2nd Lt","CL-43-1","TAAF","Liaison pilot","Mobile","AL",,0,,,,
"Hall, Leonard C., Jr.","Hall","Leonard C., Jr.",1945-06-27,"2nd Lt","SE-45-D","TAAF","Single engine","Philadelphia","PA",,0,,,,
"Hall, Milton T.","Hall","Milton T.",1942-12-13,"2nd Lt","SE-42-K","TAAF","Single engine","Owensboro","KY",,0,,,,
"Hall, Richard W.","Hall","Richard W.",1943-07-28,"2nd Lt","SE-43-G","TAAF","Single engine","Albany","GA","Downed 1 Me-109 on July 27, 1944",1,,,,
"Hamilton, John L.","Hamilton","John L.",1943-05-28,"2nd Lt","SE-43-E","TAAF","Single engine","Greenwood","MS",,0,,,,
"Hancock, Victor","Hancock","Victor",1945-09-08,"Flight Officer","TE-45-F","TAAF","Twin engine","St. Louis","MO",,0,,,,
"Hanks, Louis K.","Hanks","Louis K.",1943-10-22,"2nd Lt","CL-43-2","TAAF","Liaison pilot","Toledo","OH",,0,,,,
"Harden, Argonne F.","Harden","Argonne F.",1945-03-11,"2nd Lt","TE-45-A","TAAF","Twin engine","Philadelpha","PA",,0,,,,
"Harder, Richard S.","Harder","Richard S.",1944-02-08,"2nd Lt","SE-44-B","TAAF","Single engine","Brooklyn","NY",,0,,,,
"Hardy, Bennett G.","Hardy","Bennett G.",1945-09-08,"2nd Lt","SE-45-F","TAAF","Single engine","Kokomo","IN",,0,,,,
